City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
653,Farafangana,MG,-22.8167,47.8333,83.26,73,96,11.9,overcast clouds
654,Seoul,KR,37.5683,126.9778,33.24,74,0,3.44,clear sky
655,Les Cayes,HT,18.2,-73.75,77.23,73,86,10.83,overcast clouds
656,Plouzane,FR,48.3833,-4.6167,48.25,64,75,9.22,broken clouds
657,Tessalit,ML,20.1986,1.0114,86.56,6,0,4.47,clear sky
658,Terrace Bay,CA,48.7834,-87.1,1.49,95,100,7.99,overcast clouds
659,Floro,NO,61.5996,5.0328,44.96,75,75,3.44,broken clouds
660,Methoni,GR,36.8197,21.7049,56.21,73,100,5.46,overcast clouds
661,Churapcha,RU,62.0025,132.4325,-35.55,100,44,2.66,scattered clouds
662,Manjakandriana,MG,-18.9167,47.8,73.09,82,100,2.82,moderate rain
663,Mwingi,KE,-0.9344,38.0601,90.23,27,30,11.81,scattered clouds
664,Shingu,JP,33.7333,135.9833,37.17,62,2,6.24,clear sky
665,Novyy Urengoy,RU,66.0833,76.6333,15.76,95,100,16.33,snow
666,Okitipupa,NG,6.5047,4.7839,97.25,42,82,11.23,broken clouds
667,Sherbrooke,CA,45.4001,-71.8991,32.18,93,100,4.61,light snow
668,Tatarskaya Pishlya,RU,54.0608,44.8998,23.4,89,100,13.29,overcast clouds
669,Naliya,IN,23.2667,68.8333,84.47,28,5,8.84,clear sky
670,Araceli,PH,10.5529,119.9913,79.68,77,65,27.92,broken clouds
671,Burnie,AU,-41.0667,145.9167,54.95,70,100,13.29,overcast clouds
672,Luba,GQ,3.4568,8.5547,89.49,82,96,10.09,light rain
673,Kalmunai,LK,7.4167,81.8167,77.56,77,64,9.82,broken clouds
674,Omurtag,BG,43.1,26.4167,43.52,70,98,7.02,overcast clouds
675,Tevaitoa,PF,-16.7833,-151.5,81.84,73,100,9.01,light rain
676,Aktas,KZ,49.7789,72.9608,31.75,98,100,15.23,snow
677,Svetlyy,RU,54.675,20.1347,44.65,75,91,9.35,overcast clouds
